場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
美浦,20260902,美浦,水,セイウンヤオヨロズ,,牡,3,上原博之,53.9,39.4,25.9,12.7,14.5,13.5,13.2,12.7,
美浦,20260902,美浦,水,セキテイリノ,,牡,3,田中剛,53.8,39.2,25.6,12.2,14.6,13.6,13.4,12.2,
栗東,20260830,栗東,日,ゼランテ,,牡,3,松永幹夫,58.2,42.2,26.6,13.2,16.0,15.6,13.4,13.2,
栗東,20260826,栗東,水,ゼンノゾンターク,,牡,3,緒方努,55.3,39.9,26.0,13.0,15.4,13.9,13.0,13.0,
栗東,20260828,栗東,金,ソニックブーム,,牝,3,柴田卓,54.1,39.4,26.0,13.0,14.7,13.4,13.0,13.0,
栗東,20260902,栗東,水,ソニックブーム,,牝,3,柴田卓,53.9,39.3,25.9,13.0,14.6,13.4,12.9,13.0,
美浦,20260902,美浦,水,ソフィア,,牝,3,鹿戸雄一,56.1,40.7,26.3,12.8,15.4,14.4,13.5,12.8,
栗東,20260826,栗東,水,ダイシンリンク,,牡,4,森秀行,52.1,38.4,25.6,13.1,13.7,12.8,12.5,13.1,
栗東,20260830,栗東,日,ダイシンリンク,,牡,4,森秀行,56.3,41.0,26.6,13.2,15.3,14.4,13.4,13.2,
栗東,20260903,栗東,木,ダイシンリンク,,牡,4,森秀行,52.7,38.2,25.0,12.7,14.5,13.2,12.3,12.7,
美浦,20260902,美浦,水,タイセイウィザード,,牡,2,栗田徹,53.4,39.1,25.3,12.4,14.3,13.8,12.9,12.4,
栗東,20260902,栗東,水,タイセイサーブル,,牡,3,高野友和,57.8,41.7,26.8,12.9,16.1,14.9,13.9,12.9,
栗東,20260826,栗東,水,ダイヤモンドノット,,牡,3,福永祐一,51.9,37.8,25.2,13.2,14.1,12.6,12.0,13.2,
栗東,20260830,栗東,日,ダイヤモンドノット,,牡,3,福永祐一,60.7,42.6,26.8,13.0,18.1,15.8,13.8,13.0,
栗東,20260902,栗東,水,ダイヤモンドノット,,牡,3,福永祐一,55.6,40.2,25.7,12.3,15.4,14.5,13.4,12.3,
美浦,20260830,美浦,日,ダイユウヴェンティ,,牝,3,松永康利,56.7,41.0,26.2,12.5,15.7,14.8,13.7,12.5,
美浦,20260826,美浦,水,タケルムサシ,,牡,3,斎藤誠,53.8,39.7,25.6,12.5,14.1,14.1,13.1,12.5,
美浦,20260902,美浦,水,タケルムサシ,,牡,3,斎藤誠,53.4,39.2,25.2,12.4,14.2,14.0,12.8,12.4,
栗東,20260830,栗東,日,ダノンカゼルタ,,セ,4,寺島良,57.5,41.7,26.7,12.8,15.8,15.0,13.9,12.8,
栗東,20260826,栗東,水,タマモイカロス,,牡,3,藤岡健一,51.4,37.7,24.8,12.5,13.7,12.9,12.3,12.5,
栗東,20260830,栗東,日,タマモイカロス,,牡,3,藤岡健一,56.1,41.3,27.2,13.8,14.8,14.1,13.4,13.8,
栗東,20260830,栗東,日,タマモナポリ,,牝,5,河嶋宏樹,55.7,40.3,27.3,14.1,15.4,13.0,13.2,14.1,
栗東,20260826,栗東,水,タマモブラックタイ,,牡,6,角田晃一,54.4,39.3,25.3,12.2,15.1,14.0,13.1,12.2,
栗東,20260826,栗東,水,ディアーモルタル,,牝,3,宮本博,55.9,40.1,26.1,12.8,15.8,14.0,13.3,12.8,
