阪12,ダ,1200,9, スレッドザニードル,(栗),安達昭夫,国分恭介,16,,1,15,13,14,32,12,44,15,24,16,,ファインニードル
中3,ダ,1200,2, セイウンヤオヨロズ,(美),上原博之,佐藤翔馬,3,,2,6,47,6,26,14,118,2,238,4,,セイウンコウセイ
阪12,ダ,1200,2, ゼットスパンキー,(栗),宮徹,森田誠也,15,,2,9,18,13,16,16,38,16,57,14,,ディスクリートキャット
中1,ダ,1800,1, ゼラニウム,(美),平岩大典,丸田恭介,7,,2,4,29,4,47,5,71,4,147,5,,マカヒキ
阪11,芝,2000,3, センツブラッド,(栗),斉藤崇史,西塚洸二,12,,3,5,30,11,44,11,88,7,109,9,,ルーラーシップ
中7,ダ,1800,12, ゼンノスタニング,(美),小手川準,今村聖奈,6,,3,3,21,10,42,9,87,10,101,16,,シルバーステート
中6,ダ,1200,7, ソットマツモト,(美),竹内正洋,田辺裕信,3,,6,1,38,2,38,1,41,9,141,6,,ヴァンゴッホ
中1,ダ,1800,2, ソラニワラエバ,(美),武井亮,石神深道,1,,4,1,53,1,52,4,136,1,236,1,,オルフェーヴル
中12,ダ,1800,5, ターフクリスタル,(美),矢野英一,内田博幸,12,,2,6,26,6,50,4,101,7,178,4,,インカンテーション
中4,芝,2000,9, タイキヴィグルーズ,(美),大竹正博,丸田恭介,18,,2,8,9,17,25,16,92,10,132,12,,ハービンジャー
阪10,ダ,1800,9, タイセイアディクト,(美),池上昌和,坂井瑠星,12,,2,4,26,12,46,9,119,1,189,1,,リオンディーズ
中8,芝,2500,9, タイセイネクサス,(美),古賀慎明,黛弘人,13,,2,4,15,11,11,14,19,14,40,14,,キズナ
阪12,ダ,1200,1, タイセイブロウ,(栗),平田修,田口貫太,13,,1,14,10,15,44,10,65,11,117,11,,キンシャサノキセキ
中12,ダ,1800,1, タイセツナヒ,(美),杉浦宏昭,原優介,9,,2,6,12,13,46,7,119,3,152,7,,ホッコータルマエ
阪9,芝,1400,4, ダガーリング,(栗),柴田卓,坂井瑠星,5,,3,2,37,6,69,1,73,5,151,3,,タワーオブロンドン
阪11,芝,2000,10, タガノデュード,(栗),宮徹,古川吉洋,4,,3,5,30,11,62,4,137,1,242,1,,ヤマカツエース
阪10,ダ,1800,13, タガノマカシヤ,(栗),中村直也,岩田望来,5,,2,4,40,6,59,3,60,14,155,4,,アメリカンペイトリオット
中7,ダ,1800,11, タカラエイティ,(美),堀内岳志,遠藤汰月,14,,2,5,18,11,44,8,78,11,133,13,,リアルスティール
阪4,芝,1800,11, ダノンケリー,(美),尾関知人,佐々木大,14,,1,11,19,9,57,3,76,12,142,13,,サートゥルナーリア
中10,芝,2000,9, ダノンジャイアン,(栗),茶木太樹,斎藤新,3,,2,7,53,4,59,3,61,11,143,7,,ブリックスアンドモルタル
阪8,芝,1800,11, ダノンテムズ,(栗),寺島良,ルメール,4,,2,8,58,2,56,8,113,4,189,4,,ダノンキングリー
阪8,芝,1800,13, ダノンブギ,(栗),安田翔伍,横山和生,9,,4,2,22,10,61,5,65,13,132,11,,エピファネイア
阪7,ダ,1400,8, タフクッキー,(栗),中内田充,中井裕二,4,,4,1,20,10,30,12,96,8,85,15,,ロードカナロア
