場所,年月日,日付S,曜日,馬名,Ｃ,性別,調教師,6F,5F,4F,3F,2F,1F,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1
栗東,20260921,2026.9.21,月,ウォータークラーク,,牡,石橋守,83.7,67.3,52.8,37.7,23.4,11.2,16.4,14.5,15.1,14.3,12.2,11.2
栗東,20260921,2026.9.21,月,ウルスチャージ,,牡,大橋勇樹,85.3,69.3,54.1,38.0,23.4,11.7,16.0,15.2,16.1,14.6,11.7,11.7
美浦,20260923,2026.9.23,水,エスコバル,,セ,高橋文雅,83.5,66.5,51.6,37.0,23.8,11.5,17.0,14.9,14.6,13.2,12.3,11.5
美浦,20260920,2026.9.20,日,エランヴィータ,,牡,柄崎将寿,86.2,69.9,53.9,38.3,24.0,11.2,16.3,16.0,15.6,14.3,12.8,11.2
美浦,20260923,2026.9.23,水,エランヴィータ,,牡,柄崎将寿,85.6,68.3,53.3,37.8,23.8,11.6,17.3,15.0,15.5,14.0,12.2,11.6
美浦,20260921,2026.9.21,月,ガールネクストドア,,牝,佐藤吉勝,82.4,65.8,51.2,37.2,24.1,12.1,16.6,14.6,14.0,13.1,12.0,12.1
美浦,20260924,2026.9.24,木,カツノテンス,,牡,伊藤伸一,87.3,66.8,51.4,37.2,23.8,11.5,20.5,15.4,14.2,13.4,12.3,11.5
美浦,20260923,2026.9.23,水,カテドラルクォーツ,,牡,菊沢隆徳,83.8,67.5,52.4,38.3,24.5,11.9,16.3,15.1,14.1,13.8,12.6,11.9
栗東,20260923,2026.9.23,水,ガヤーズランボー,,牡,秋山真一,85.1,68.4,53.1,37.8,23.2,11.5,16.7,15.3,15.3,14.6,11.7,11.5
美浦,20260923,2026.9.23,水,キボウノホシ,,セ,奥平雅士,88.5,68.7,52.8,37.7,23.8,11.4,19.8,15.9,15.1,13.9,12.4,11.4
美浦,20260920,2026.9.20,日,キューティリップ,,牝,戸田博文,90.9,70.0,53.8,38.7,24.4,11.6,20.9,16.2,15.1,14.3,12.8,11.6
美浦,20260923,2026.9.23,水,キューティリップ,,牝,戸田博文,88.8,67.9,52.6,38.1,24.5,11.9,20.9,15.3,14.5,13.6,12.6,11.9
美浦,20260923,2026.9.23,水,グラニット,,牡,大和田成,87.3,69.2,53.8,39.1,24.9,11.8,18.1,15.4,14.7,14.2,13.1,11.8
美浦,20260923,2026.9.23,水,グランアルト,,牡,斎藤誠,82.7,65.9,51.5,37.3,23.8,11.7,16.8,14.4,14.2,13.5,12.1,11.7
栗東,20260923,2026.9.23,水,ケイアイアマゾン,,牡,秋山真一,89.3,72.2,55.7,39.2,24.0,11.5,17.1,16.5,16.5,15.2,12.5,11.5
栗東,20260923,2026.9.23,水,ゴウオン,,牡,千田輝彦,,,55.0,38.9,23.8,11.9,,,16.1,15.1,11.9,11.9
栗東,20260923,2026.9.23,水,ゴールデンステーラ,,牡,本田優,81.5,66.5,51.9,37.5,24.0,12.2,15.0,14.6,14.4,13.5,11.8,12.2
美浦,20260924,2026.9.24,木,ココル,,牝,村田一誠,87.9,69.9,53.4,38.1,24.4,11.8,18.0,16.5,15.3,13.7,12.6,11.8
美浦,20260923,2026.9.23,水,コパノキラキラ,,牡,上原博之,85.9,69.1,53.6,38.6,24.8,11.8,16.8,15.5,15.0,13.8,13.0,11.8
栗東,20260923,2026.9.23,水,サイモンザナドゥ,,牡,小林真也,81.6,66.4,51.9,37.3,23.4,11.6,15.2,14.5,14.6,13.9,11.8,11.6
