場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
美浦,20260819,美浦,水,コンテネレッツア,,牝,5,宮田敬介,52.7,38.4,24.9,12.3,14.3,13.5,12.6,12.3,
栗東,20260815,栗東,土,サーディンラン,,牡,3,武英智,52.4,37.9,24.6,12.3,14.5,13.3,12.3,12.3,
栗東,20260812,栗東,水,サトノディヴァイン,,牡,3,橋口慎介,53.9,38.7,25.1,12.5,15.2,13.6,12.6,12.5,
栗東,20260816,栗東,日,サラサキングスター,Ｓ,牡,3,斉藤崇史,55.8,39.6,25.6,12.8,16.2,14.0,12.8,12.8,
栗東,20260819,栗東,水,サラサキングスター,Ｓ,牡,3,斉藤崇史,59.9,41.2,25.9,12.8,18.7,15.3,13.1,12.8,
栗東,20260819,栗東,水,サンクサンス,,牝,2,小栗実,54.6,40.4,26.7,13.3,14.2,13.7,13.4,13.3,
栗東,20260813,栗東,木,サンライズブレイク,,牡,4,浜田多実,52.6,37.5,24.1,12.3,15.1,13.4,11.8,12.3,
栗東,20260816,栗東,日,サンライズブレイク,,牡,4,浜田多実,58.1,41.0,25.8,12.5,17.1,15.2,13.3,12.5,
栗東,20260819,栗東,水,サンライズブレイク,,牡,4,浜田多実,54.8,38.9,24.6,12.3,15.9,14.3,12.3,12.3,
美浦,20260819,美浦,水,ジーナグレイス,,牝,3,田中勝春,55.4,40.6,25.7,12.9,14.8,14.9,12.8,12.9,
栗東,20260819,栗東,水,シェーラ,,牝,4,牧田和弥,55.5,40.2,26.1,13.3,15.3,14.1,12.8,13.3,
美浦,20260812,美浦,水,ジッピーレーサー,,セ,9,天間昭一,54.4,39.9,25.6,12.4,14.5,14.3,13.2,12.4,
美浦,20260819,美浦,水,ジッピーレーサー,,セ,9,天間昭一,55.0,39.9,25.8,12.4,15.1,14.1,13.4,12.4,
栗東,20260816,栗東,日,シャインゴーツ,,牡,3,北出成人,57.3,40.9,26.8,13.4,16.4,14.1,13.4,13.4,
栗東,20260819,栗東,水,シャインゴーツ,,牡,3,北出成人,55.1,39.4,25.5,12.6,15.7,13.9,12.9,12.6,
栗東,20260812,栗東,水,ジャスパーノベル,Ｍ,牝,4,森秀行,53.0,37.8,24.1,12.0,15.2,13.7,12.1,12.0,
栗東,20260816,栗東,日,ジャスパーノベル,Ｍ,牝,4,森秀行,54.0,38.4,24.9,12.2,15.6,13.5,12.7,12.2,
栗東,20260819,栗東,水,ジャスパーノベル,Ｍ,牝,4,森秀行,54.2,39.1,25.2,12.3,15.1,13.9,12.9,12.3,
栗東,20260812,栗東,水,ジャスパーメルチェ,Ｍ,牝,3,森秀行,52.8,38.5,25.0,12.7,14.3,13.5,12.3,12.7,
栗東,20260816,栗東,日,ジャスパーメルチェ,Ｍ,牝,3,森秀行,52.9,38.0,24.5,12.1,14.9,13.5,12.4,12.1,
栗東,20260819,栗東,水,ジャスパーメルチェ,Ｍ,牝,3,森秀行,52.0,38.2,25.1,12.7,13.8,13.1,12.4,12.7,
美浦,20260819,美浦,水,シャンデヴァーグ,,牝,2,森一誠,53.9,39.0,24.7,12.1,14.9,14.3,12.6,12.1,
栗東,20260819,栗東,水,シルバーリム,,牝,3,中村直也,52.8,38.1,24.5,12.3,14.7,13.6,12.2,12.3,
美浦,20260819,美浦,水,スイートアリッサム,,牝,2,大和田成,54.7,39.9,26.0,12.3,14.8,13.9,13.7,12.3,
美浦,20260819,美浦,水,スカイダイバー,,牝,4,秋本大介,51.8,39.1,26.8,14.0,12.7,12.3,12.8,14.0,
栗東,20260812,栗東,水,スターペスアンナ,,牝,3,石橋守,55.1,40.4,26.5,13.3,14.7,13.9,13.2,13.3,
栗東,20260819,栗東,水,スターペスアンナ,,牝,3,石橋守,56.4,41.0,27.1,13.4,15.4,13.9,13.7,13.4,
栗東,20260816,栗東,日,スティルラブハー,,牡,2,杉山佳明,58.3,41.9,27.0,13.0,16.4,14.9,14.0,13.0,
栗東,20260819,栗東,水,スティルラブハー,,牡,2,杉山佳明,55.3,40.3,25.8,12.8,15.0,14.5,13.0,12.8,
栗東,20260812,栗東,水,スナークラファエロ,,セ,5,野中賢二,52.6,38.2,24.8,12.3,14.4,13.4,12.5,12.3,
栗東,20260816,栗東,日,スナークラファエロ,,セ,5,野中賢二,58.0,41.8,26.6,13.1,16.2,15.2,13.5,13.1,
栗東,20260819,栗東,水,スナークラファエロ,,セ,5,野中賢二,53.9,38.9,25.1,12.4,15.0,13.8,12.7,12.4,
美浦,20260816,美浦,日,スペードギニー,,セ,4,大和田成,55.1,39.7,26.0,12.8,15.4,13.7,13.2,12.8,
美浦,20260819,美浦,水,セイウンシャラ,,牝,2,田中剛,54.6,39.3,25.5,12.5,15.3,13.8,13.0,12.5,
栗東,20260819,栗東,水,セーズアマゾネス,,牝,2,飯田祐史,57.7,40.7,26.3,12.9,17.0,14.4,13.4,12.9,
美浦,20260812,美浦,水,ゼフィリア,,牝,3,岩戸孝樹,52.6,38.0,24.9,12.5,14.6,13.1,12.4,12.5,
美浦,20260816,美浦,日,ゼフィリア,,牝,3,岩戸孝樹,57.6,41.1,26.4,12.5,16.5,14.7,13.9,12.5,
美浦,20260819,美浦,水,ゼフィリア,,牝,3,岩戸孝樹,53.9,39.3,25.3,12.4,14.6,14.0,12.9,12.4,
栗東,20260816,栗東,日,ゼンノフォトン,,牡,3,茶木太樹,58.3,41.6,26.6,12.7,16.7,15.0,13.9,12.7,
美浦,20260816,美浦,日,ソースウィート,,牝,2,久保田貴,55.3,40.0,25.8,12.4,15.3,14.2,13.4,12.4,
美浦,20260819,美浦,水,ソースウィート,,牝,2,久保田貴,54.7,39.7,25.3,12.1,15.0,14.4,13.2,12.1,
栗東,20260819,栗東,水,タイヴァス,Ｙ,牡,2,矢作芳人,52.3,38.4,25.4,12.8,13.9,13.0,12.6,12.8,
美浦,20260819,美浦,水,タニセンローマ,,牡,3,斎藤誠,54.1,40.0,26.1,12.6,14.1,13.9,13.5,12.6,
栗東,20260816,栗東,日,ダンデノン,,牝,3,田中克典,55.8,40.4,26.3,12.9,15.4,14.1,13.4,12.9,
美浦,20260816,美浦,日,チャームドウイング,,セ,3,大竹正博,55.8,40.5,26.0,12.5,15.3,14.5,13.5,12.5,
美浦,20260819,美浦,水,チャームドウイング,,セ,3,大竹正博,55.5,40.3,25.5,12.2,15.2,14.8,13.3,12.2,
栗東,20260819,栗東,水,チュウワヘネシー,,牡,3,庄野靖志,56.3,41.2,27.0,13.6,15.1,14.2,13.4,13.6,
栗東,20260813,栗東,木,チリーゴールド,,牝,4,飯田祐史,53.9,39.0,25.2,12.7,14.9,13.8,12.5,12.7,
栗東,20260820,栗東,木,チリーゴールド,,牝,4,飯田祐史,54.3,39.1,25.0,12.5,15.2,14.1,12.5,12.5,
美浦,20260819,美浦,水,ティピティーナ,,牝,4,林徹,54.0,38.9,24.7,12.1,15.1,14.2,12.6,12.1,
栗東,20260813,栗東,木,テーオーシュタイン,,牡,4,梅田智之,55.2,38.8,25.1,12.3,16.4,13.7,12.8,12.3,
栗東,20260820,栗東,木,テーオーシュタイン,,牡,4,梅田智之,54.4,38.5,24.7,12.3,15.9,13.8,12.4,12.3,
美浦,20260819,美浦,水,テンカラットレター,,牡,3,本間忍,55.4,40.3,26.2,12.8,15.1,14.1,13.4,12.8,
美浦,20260814,美浦,金,テンペストヒロイン,,牝,4,堀内岳志,56.6,40.1,25.8,12.4,16.5,14.3,13.4,12.4,
美浦,20260819,美浦,水,テンペストヒロイン,,牝,4,堀内岳志,55.9,39.9,25.9,12.6,16.0,14.0,13.3,12.6,
美浦,20260819,美浦,水,トウシンマジック,,牡,2,秋本大介,54.4,39.1,25.3,12.4,15.3,13.8,12.9,12.4,
栗東,20260812,栗東,水,トップチェッカー,,牡,2,武英智,54.5,39.6,25.3,12.5,14.9,14.3,12.8,12.5,
